A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
getElementName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,633,639,633,639,equals,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\comparators\ResourceComparator.java,52,57,52,57,0.505344,
getUnmappedElementName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,641,647,641,647,getTestCaseName - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitVersionHelper.java,79,87,79,87,0.573212,
getUnmappedElementName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,641,647,641,647,getName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\URLResource.java,181,187,181,187,0.575250,
getUnmappedElementName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,641,647,641,647,isDanglingSymbolicLink - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\util\SymbolicLinkUtils.java,179,183,179,183,0.504224,
initTasks,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,749,761,749,761,initTypes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,809,819,809,819,0.946693,
initTasks,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,749,761,749,761,execute,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\AttributeNamespaceDef.java,39,50,39,50,0.709602,
initTasks,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,749,761,749,761,getImplementationClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\Mapper.java,255,268,255,268,0.562851,
initTasks,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,749,761,749,761,getURL,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\JavaResource.java,83,97,83,97,0.505107,
initTasks - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,752,760,752,760,findTypeMatches,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,1074,1079,1074,1079,0.501293,
initTasks - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,752,760,752,760,attributeNamespaceDef,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\DefaultDefinitions.java,52,59,52,59,0.823847,
initTasks - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,752,760,752,760,componentDef,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\DefaultDefinitions.java,67,74,67,74,0.834434,
initTypes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,809,819,809,819,attributeNamespaceDef,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\DefaultDefinitions.java,52,59,52,59,0.751945,
initTypes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,809,819,809,819,execute,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\AttributeNamespaceDef.java,39,50,39,50,0.689067,
initTypes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,809,819,809,819,hasJunit,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTask.java,1706,1719,1706,1719,0.559411,
initTypes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,809,819,809,819,getImplementationClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\Mapper.java,255,268,255,268,0.597380,
initTypes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,809,819,809,819,getURL,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\JavaResource.java,83,97,83,97,0.534374,
